SampleDateTime,cg2_SiTemperature,cg2_MplTemperature,cg2_SiHumidity,Temperature,Air temperature (°C)(t2m), Air density(rhoa),Top of atmosphere solar irradiance (swtdn)
01-01-2022 00:00,0,0,0,0,-11.744,1.326,0
01-01-2022 01:00,0,0,0,0,-11.928,1.329,0
01-01-2022 02:00,0,0,0,0,-12.152,1.331,0
01-01-2022 03:00,0,0,0,0,-12.268,1.333,0
01-01-2022 04:00,0,0,0,0,-12.298,1.334,0
01-01-2022 05:00,0,0,0,0,-12.412,1.335,0
01-01-2022 06:00,0,0,0,0,-12.501,1.337,0
01-01-2022 07:00,0,0,0,0,-12.633,1.339,0
01-01-2022 08:00,0,0,0,0,-12.719,1.34,0.734
01-01-2022 09:00,0,0,0,0,-12.847,1.342,29.785
01-01-2022 10:00,0,0,0,0,-12.873,1.343,52.421
01-01-2022 11:00,0,0,0,0,-12.894,1.344,37.567
01-01-2022 12:00,0,0,0,0,-12.991,1.344,3.333
01-01-2022 13:00,0,0,0,0,-13.346,1.347,0
01-01-2022 14:00,0,0,0,0,-13.752,1.35,0
01-01-2022 15:00,0,0,0,0,-14.188,1.352,0
01-01-2022 16:00,0,0,0,0,-14.618,1.355,0
01-01-2022 17:00,0,0,0,0,-15.023,1.356,0
01-01-2022 18:00,0,0,0,0,-15.269,1.355,0
01-01-2022 19:00,0,0,0,0,-15.293,1.355,0
01-01-2022 20:00,0,0,0,0,-15.22,1.355,0
01-01-2022 21:00,0,0,0,0,-15.092,1.354,0
01-01-2022 22:00,0,0,0,0,-14.832,1.353,0
01-01-2022 23:00,0,0,0,0,-14.481,1.35,0
02-01-2022 00:00,0,0,0,0,-14.158,1.346,0
02-01-2022 01:00,0,0,0,0,-13.826,1.342,0
02-01-2022 02:00,0,0,0,0,-13.225,1.337,0
02-01-2022 03:00,0,0,0,0,-12.312,1.33,0
02-01-2022 04:00,0,0,0,0,-11.047,1.322,0
02-01-2022 05:00,0,0,0,0,-9.659,1.313,0
02-01-2022 06:00,0,0,0,0,-8.304,1.305,0
02-01-2022 07:00,0,0,0,0,-7.034,1.297,0
02-01-2022 08:00,0,0,0,0,-5.957,1.29,0.984
02-01-2022 09:00,0,0,0,0,-5.073,1.285,31.789
02-01-2022 10:00,0,0,0,0,-4.358,1.28,54.468
02-01-2022 11:00,0,0,0,0,-4.045,1.278,39.61
02-01-2022 12:00,0,0,0,0,-3.991,1.277,3.989
02-01-2022 13:00,0,0,0,0,-3.968,1.276,0
02-01-2022 14:00,0,0,0,0,-3.985,1.275,0
02-01-2022 15:00,0,0,0,0,-4.026,1.274,0
02-01-2022 16:00,0,0,0,0,-4.093,1.274,0
02-01-2022 17:00,0,0,0,0,-4.184,1.274,0
02-01-2022 18:00,0,0,0,0,-4.271,1.274,0
02-01-2022 19:00,0,0,0,0,-4.378,1.274,0
02-01-2022 20:00,0,0,0,0,-4.516,1.274,0
02-01-2022 21:00,0,0,0,0,-4.673,1.274,0
02-01-2022 22:00,0,0,0,0,-4.816,1.274,0
02-01-2022 23:00,0,0,0,0,-4.934,1.274,0
03-01-2022 00:00,0,0,0,0,-5.052,1.274,0
03-01-2022 01:00,0,0,0,0,-5.161,1.273,0
03-01-2022 02:00,0,0,0,0,-5.394,1.273,0
03-01-2022 03:00,0,0,0,0,-5.586,1.273,0
03-01-2022 04:00,0,0,0,0,-5.698,1.274,0
03-01-2022 05:00,0,0,0,0,-5.917,1.275,0
03-01-2022 06:00,0,0,0,0,-6.291,1.276,0
03-01-2022 07:00,0,0,0,0,-6.577,1.277,0
03-01-2022 08:00,0,0,0,0,-6.699,1.278,1.319
03-01-2022 09:00,0,0,0,0,-6.67,1.278,33.981
03-01-2022 10:00,0,0,0,0,-6.435,1.277,56.698
03-01-2022 11:00,0,0,0,0,-6.145,1.277,41.844
03-01-2022 12:00,0,0,0,0,-6.148,1.277,4.775
03-01-2022 13:00,0,0,0,0,-6.133,1.276,0
03-01-2022 14:00,0,0,0,0,-6.105,1.276,0
03-01-2022 15:00,0,0,0,0,-6.196,1.276,0
03-01-2022 16:00,0,0,0,0,-6.445,1.276,0
03-01-2022 17:00,0,0,0,0,-6.693,1.276,0
03-01-2022 18:00,0,0,0,0,-6.741,1.277,0
03-01-2022 19:00,0,0,0,0,-6.794,1.277,0
03-01-2022 20:00,0,0,0,0,-6.786,1.278,0
03-01-2022 21:00,0,0,0,0,-6.791,1.278,0
