SampleDateTime,cg1_Temperature,cg2_SiTemperature,cg2_MplTemperature,cg2_SiHumidity,Air temperature_t2m, Air density,Top of atmosphere solar irradiance
01-01-2023 00:00,0.853333333,1.342500001,0.702500001,109.0249996,-1.104,1.241,0
01-01-2023 01:00,0.17,0.784999996,0.125,108.6599998,-1.519,1.245,0
01-01-2023 02:00,-0.47,0.099999997,-0.560000002,108.1833318,-2.036,1.249,0
01-01-2023 03:00,-0.64,-0.320000004,-1,108.1224995,-2.603,1.253,0
01-01-2023 04:00,-1.353333333,-0.796666642,-1.456666668,107.746666,-2.998,1.255,0
01-01-2023 05:00,-1.985,-1.330000013,-2,107.4675007,-3.092,1.257,0
01-01-2023 06:00,-2.265,-1.742500007,-2.452499986,107.3024998,-3.008,1.258,0
01-01-2023 07:00,-2.655,-2.014999986,-2.6875,107.4200001,-2.839,1.258,0
01-01-2023 08:00,-2.686666667,-2.016666611,-2.686666648,107.3199997,-2.727,1.259,0.685
01-01-2023 09:00,-2.265,-1.912499964,-2.589999914,107.3525009,-2.826,1.261,29.322
01-01-2023 10:00,-1.9075,-1.730000019,-2.422500014,107.3674984,-3.069,1.263,51.949
01-01-2023 11:00,-2.376666667,-1.826666633,-2.50333341,107.3866679,-3.391,1.266,37.092
01-01-2023 12:00,-2.7975,-2.233333349,-2.920000076,107.0600026,-3.745,1.268,3.187
01-01-2023 13:00,-3.155,-2.529999971,-3.206666629,106.8333359,-4.019,1.271,0
01-01-2023 14:00,-3.4225,-2.733333349,-3.420000076,106.8666687,-4.222,1.273,0
01-01-2023 15:00,-3.765,-2.906666676,-3.603333314,106.4799983,-4.407,1.275,0
01-01-2023 16:00,-3.98,-3.207500041,-3.904999971,106.3799992,-4.708,1.278,0
01-01-2023 17:00,-4.3925,-3.647499979,-4.330000043,106.0825005,-5.043,1.281,0
01-01-2023 18:00,-4.78,-4.055000007,-4.75,105.875,-5.063,1.282,0
01-01-2023 19:00,-4.5625,-3.82249999,-4.5,106.0525017,-4.854,1.282,0
01-01-2023 20:00,-4.205,-3.467500031,-4.137499928,106.2699986,-4.644,1.282,0
