SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-09-04 00:04:57.2482420;cg1;3862;0;1;26;7;0;0;0;0;0;5.38
2022-09-04 00:20:15.7416380;cg1;3868;0;1;18;7;0;0;0;0;0;5.56
2022-09-04 00:35:33.3326920;cg1;3864;0;1;26;6;0;0;0;0;0;5.69
2022-09-04 01:06:19.5861700;cg1;3862;0;1;19;14;0;0;0;0;0;5.94
2022-09-04 01:21:36.9375900;cg1;3862;0;1;29;4;0;0;0;0;0;6.06
2022-09-04 01:37:01.1004820;cg1;3864;0;8;21;17;0;0;0;0;0;6.12
2022-09-04 01:52:22.7134670;cg1;3862;0;1;29;13;0;0;0;0;0;6.19
2022-09-04 02:07:44.0781980;cg1;3856;0;1;17;9;0;0;0;0;0;6.25
2022-09-04 02:23:04.0618800;cg1;3864;0;1;27;5;0;0;0;0;0;6.31
2022-09-04 02:38:22.1480450;cg1;3862;0;1;27;7;0;0;0;0;0;6.38
2022-09-04 02:53:40.3988160;cg1;3862;0;1;27;8;0;0;0;0;0;6.44
2022-09-04 03:08:58.0661320;cg1;3858;0;1;27;6;0;0;0;0;0;6.56
2022-09-04 03:24:24.1540200;cg1;3856;0;8;18;17;0;0;0;0;0;6.44
2022-09-04 03:39:48.9584780;cg1;3858;0;1;27;13;0;0;0;0;0;6.25
2022-09-04 03:55:07.2926410;cg1;3854;0;1;17;7;0;0;0;0;0;6.0
2022-09-04 04:10:26.0101110;cg1;3854;0;1;18;8;0;0;0;0;0;5.69
2022-09-04 04:25:49.4502560;cg1;3854;0;8;18;15;0;0;0;0;0;5.31
2022-09-04 04:41:07.3660230;cg1;3854;0;8;18;7;0;0;0;0;0;5.0
2022-09-04 04:56:29.2100910;cg1;3854;0;1;26;13;0;0;0;0;0;4.81
2022-09-04 05:11:48.5775420;cg1;3854;0;1;27;7;0;0;0;0;0;4.88
2022-09-04 05:27:05.7017710;cg1;3852;0;1;27;6;0;0;0;0;0;5.0
2022-09-04 05:42:23.1410500;cg1;3856;0;1;29;6;0;0;0;0;0;5.0
2022-09-04 06:13:07.5345390;cg1;3854;0;1;27;7;0;0;0;0;0;5.06
2022-09-04 06:28:25.2275550;cg1;3862;0;1;27;6;0;0;0;0;0;5.38
2022-09-04 06:43:42.3502960;cg1;3854;0;1;26;5;0;0;0;0;0;5.75
2022-09-04 06:59:00.1050490;cg1;3854;0;1;27;6;0;0;0;0;0;6.19
2022-09-04 07:29:38.8234920;cg1;3848;0;1;28;6;0;0;0;0;0;6.94
2022-09-04 07:44:56.8258400;cg1;3848;0;1;26;5;0;0;0;0;0;7.19
2022-09-04 08:00:14.6738190;cg1;3854;0;1;26;6;0;0;0;0;0;7.44
2022-09-04 08:15:38.1220640;cg1;3854;0;8;19;16;0;0;0;0;0;7.75
