# Renewables.ninja Weather (Point API) - 64.752, 20.959 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Paris, t2m in ºC, rhoa in kg/m³, swtdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "t2m": "\u00baC", "rhoa": "kg/m\u00b3", "swtdn": "W/m\u00b2"}, "params": {"local_time": "true", "header": "true", "lat": "64.7520185", "lon": "20.959339", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "true", "var_swgdn": "false", "var_swtdn": "true", "var_cldtot": "false"}}
time,local_time,t2m,rhoa,swtdn
2022-01-01 00:00,2022-01-01 01:00,-11.744,1.326,0
2022-01-01 01:00,2022-01-01 02:00,-11.928,1.329,0
2022-01-01 02:00,2022-01-01 03:00,-12.152,1.331,0
2022-01-01 03:00,2022-01-01 04:00,-12.268,1.333,0
2022-01-01 04:00,2022-01-01 05:00,-12.298,1.334,0
2022-01-01 05:00,2022-01-01 06:00,-12.412,1.335,0
2022-01-01 06:00,2022-01-01 07:00,-12.501,1.337,0
2022-01-01 07:00,2022-01-01 08:00,-12.633,1.339,0
2022-01-01 08:00,2022-01-01 09:00,-12.719,1.340,0.734
2022-01-01 09:00,2022-01-01 10:00,-12.847,1.342,29.785
2022-01-01 10:00,2022-01-01 11:00,-12.873,1.343,52.421
2022-01-01 11:00,2022-01-01 12:00,-12.894,1.344,37.567
2022-01-01 12:00,2022-01-01 13:00,-12.991,1.344,3.333
2022-01-01 13:00,2022-01-01 14:00,-13.346,1.347,0
2022-01-01 14:00,2022-01-01 15:00,-13.752,1.350,0
2022-01-01 15:00,2022-01-01 16:00,-14.188,1.352,0
2022-01-01 16:00,2022-01-01 17:00,-14.618,1.355,0
2022-01-01 17:00,2022-01-01 18:00,-15.023,1.356,0
2022-01-01 18:00,2022-01-01 19:00,-15.269,1.355,0
2022-01-01 19:00,2022-01-01 20:00,-15.293,1.355,0
2022-01-01 20:00,2022-01-01 21:00,-15.220,1.355,0
2022-01-01 21:00,2022-01-01 22:00,-15.092,1.354,0
2022-01-01 22:00,2022-01-01 23:00,-14.832,1.353,0
2022-01-01 23:00,2022-01-02 00:00,-14.481,1.350,0
2022-01-02 00:00,2022-01-02 01:00,-14.158,1.346,0
2022-01-02 01:00,2022-01-02 02:00,-13.826,1.342,0
2022-01-02 02:00,2022-01-02 03:00,-13.225,1.337,0
2022-01-02 03:00,2022-01-02 04:00,-12.312,1.330,0
2022-01-02 04:00,2022-01-02 05:00,-11.047,1.322,0
2022-01-02 05:00,2022-01-02 06:00,-9.659,1.313,0
2022-01-02 06:00,2022-01-02 07:00,-8.304,1.305,0
2022-01-02 07:00,2022-01-02 08:00,-7.034,1.297,0
2022-01-02 08:00,2022-01-02 09:00,-5.957,1.290,0.984
2022-01-02 09:00,2022-01-02 10:00,-5.073,1.285,31.789
2022-01-02 10:00,2022-01-02 11:00,-4.358,1.280,54.468
2022-01-02 11:00,2022-01-02 12:00,-4.045,1.278,39.610
2022-01-02 12:00,2022-01-02 13:00,-3.991,1.277,3.989
2022-01-02 13:00,2022-01-02 14:00,-3.968,1.276,0
2022-01-02 14:00,2022-01-02 15:00,-3.985,1.275,0
2022-01-02 15:00,2022-01-02 16:00,-4.026,1.274,0
2022-01-02 16:00,2022-01-02 17:00,-4.093,1.274,0
2022-01-02 17:00,2022-01-02 18:00,-4.184,1.274,0
2022-01-02 18:00,2022-01-02 19:00,-4.271,1.274,0
2022-01-02 19:00,2022-01-02 20:00,-4.378,1.274,0
2022-01-02 20:00,2022-01-02 21:00,-4.516,1.274,0
2022-01-02 21:00,2022-01-02 22:00,-4.673,1.274,0
2022-01-02 22:00,2022-01-02 23:00,-4.816,1.274,0
2022-01-02 23:00,2022-01-03 00:00,-4.934,1.274,0
2022-01-03 00:00,2022-01-03 01:00,-5.052,1.274,0
2022-01-03 01:00,2022-01-03 02:00,-5.161,1.273,0
2022-01-03 02:00,2022-01-03 03:00,-5.394,1.273,0
2022-01-03 03:00,2022-01-03 04:00,-5.586,1.273,0
2022-01-03 04:00,2022-01-03 05:00,-5.698,1.274,0
2022-01-03 05:00,2022-01-03 06:00,-5.917,1.275,0
2022-01-03 06:00,2022-01-03 07:00,-6.291,1.276,0
2022-01-03 07:00,2022-01-03 08:00,-6.577,1.277,0
2022-01-03 08:00,2022-01-03 09:00,-6.699,1.278,1.319
2022-01-03 09:00,2022-01-03 10:00,-6.670,1.278,33.981
2022-01-03 10:00,2022-01-03 11:00,-6.435,1.277,56.698
2022-01-03 11:00,2022-01-03 12:00,-6.145,1.277,41.844
2022-01-03 12:00,2022-01-03 13:00,-6.148,1.277,4.775
2022-01-03 13:00,2022-01-03 14:00,-6.133,1.276,0
2022-01-03 14:00,2022-01-03 15:00,-6.105,1.276,0
2022-01-03 15:00,2022-01-03 16:00,-6.196,1.276,0
2022-01-03 16:00,2022-01-03 17:00,-6.445,1.276,0
2022-01-03 17:00,2022-01-03 18:00,-6.693,1.276,0
2022-01-03 18:00,2022-01-03 19:00,-6.741,1.277,0
2022-01-03 19:00,2022-01-03 20:00,-6.794,1.277,0
2022-01-03 20:00,2022-01-03 21:00,-6.786,1.278,0
2022-01-03 21:00,2022-01-03 22:00,-6.791,1.278,0
2022-01-03 22:00,2022-01-03 23:00,-6.883,1.279,0
2022-01-03 23:00,2022-01-04 00:00,-6.937,1.279,0
2022-01-04 00:00,2022-01-04 01:00,-7.043,1.279,0
2022-01-04 01:00,2022-01-04 02:00,-7.115,1.279,0
2022-01-04 02:00,2022-01-04 03:00,-7.158,1.278,0
2022-01-04 03:00,2022-01-04 04:00,-7.110,1.277,0
2022-01-04 04:00,2022-01-04 05:00,-6.975,1.276,0
2022-01-04 05:00,2022-01-04 06:00,-6.789,1.275,0
2022-01-04 06:00,2022-01-04 07:00,-6.621,1.274,0
2022-01-04 07:00,2022-01-04 08:00,-6.560,1.274,0
2022-01-04 08:00,2022-01-04 09:00,-6.599,1.274,1.753
2022-01-04 09:00,2022-01-04 10:00,-6.703,1.274,36.366
2022-01-04 10:00,2022-01-04 11:00,-6.842,1.275,59.117
2022-01-04 11:00,2022-01-04 12:00,-6.978,1.275,44.254
2022-01-04 12:00,2022-01-04 13:00,-7.140,1.276,5.716
2022-01-04 13:00,2022-01-04 14:00,-7.261,1.276,0
2022-01-04 14:00,2022-01-04 15:00,-7.362,1.276,0
2022-01-04 15:00,2022-01-04 16:00,-7.400,1.275,0
2022-01-04 16:00,2022-01-04 17:00,-7.404,1.274,0
2022-01-04 17:00,2022-01-04 18:00,-7.473,1.274,0
2022-01-04 18:00,2022-01-04 19:00,-7.565,1.274,0
2022-01-04 19:00,2022-01-04 20:00,-7.664,1.274,0
2022-01-04 20:00,2022-01-04 21:00,-7.641,1.274,0
2022-01-04 21:00,2022-01-04 22:00,-7.707,1.274,0
2022-01-04 22:00,2022-01-04 23:00,-7.832,1.274,0
2022-01-04 23:00,2022-01-05 00:00,-7.877,1.275,0
2022-01-05 00:00,2022-01-05 01:00,-7.986,1.275,0
2022-01-05 01:00,2022-01-05 02:00,-8.122,1.275,0
